time,sub,run,FS-left-amygdala,FS-right-amygdala
62,pixar131,run-01,0.65454286,0.8419784
63,pixar131,run-01,0.7206078,0.30256063
64,pixar131,run-01,0.7247403,0.28355333
65,pixar131,run-01,0.87975484,0.6361367
66,pixar131,run-01,1.3420393,0.76035595
67,pixar131,run-01,1.1195874,0.6506141
68,pixar131,run-01,0.95116025,0.716818
69,pixar131,run-01,1.0669863,1.3641413
70,pixar131,run-01,1.5591902,2.0663967
71,pixar131,run-01,0.9069588,0.39778274
72,pixar131,run-01,1.176028,1.2025744
73,pixar131,run-01,0.98363215,1.2446995
74,pixar131,run-01,1.0021322,0.7070254
75,pixar131,run-01,0.96692866,0.8414672
76,pixar131,run-01,0.7690402,0.36627048
77,pixar131,run-01,0.70178443,0.69154495
78,pixar131,run-01,0.5838588,0.28747517
79,pixar131,run-01,1.3796941,0.7488986
